year,avg_temp
1743,10.37
1744,15.04
1745,6.20
1746,
1747,
1748,
1749,
1750,13.83
1751,14.14
1752,9.48
1753,13.42
1754,13.58
1755,13.36
1756,14.10
1757,13.90
1758,12.10
1759,13.13
1760,12.57
1761,13.76
1762,13.66
1763,12.72
1764,13.79
1765,13.72
1766,13.60
1767,13.32
1768,12.09
1769,13.29
1770,13.28
1771,13.20
1772,14.22
1773,13.74
1774,14.07
1775,14.35
1776,13.19
1777,13.18
1778,13.96
1779,14.04
1780,13.95
1781,13.70
1782,13.10
1783,13.31
1784,13.40
1785,12.57
1786,13.13
1787,13.61
1788,13.56
1789,13.74
1790,13.56
1791,14.09
1792,13.39
1793,13.27
1794,13.87
1795,13.66
1796,13.60
1797,14.25
1798,13.93
1799,13.29
1800,13.73
1801,14.37
1802,14.48
1803,13.36
1804,13.69
1805,13.12
1806,13.88
1807,13.99
1808,12.75
1809,12.40
1810,12.72
1811,12.95
1812,12.30
1813,12.62
1814,12.81
1815,12.54
1816,12.32
1817,12.74
1818,13.26
1819,13.14
1820,13.00
1821,12.97
1822,13.07
1823,13.44
1824,14.32
1825,13.08
1826,13.03
1827,14.09
1828,13.07
1829,12.65
1830,13.21
1831,12.84
1832,11.64
1833,13.05
1834,13.15
1835,12.56
1836,13.19
1837,12.46
1838,12.28
1839,12.77
1840,12.30
1841,13.70
1842,12.94
1843,13.22
1844,12.78
1845,13.48
1846,13.98
1847,13.57
1848,13.70
1849,13.09
1850,12.74
1851,13.77
1852,13.29
1853,14.34
1854,13.03
1855,13.36
1856,12.95
1857,12.24
1858,12.72
1859,13.50
1860,13.89
1861,12.57
1862,12.94
1863,13.47
1864,12.87
1865,13.05
1866,13.12
1867,12.81
1868,13.14
1869,13.57
1870,13.16
1871,13.16
1872,14.41
1873,14.03
1874,13.39
1875,12.37
1876,13.60
1877,13.57
1878,13.99
1879,14.07
1880,12.49
1881,12.74
1882,13.25
1883,13.32
1884,12.77
1885,13.74
1886,13.67
1887,13.69
1888,12.80
1889,13.20
1890,13.25
1891,13.10
1892,13.95
1893,12.48
1894,12.78
1895,13.61
1896,13.20
1897,13.28
1898,13.54
1899,13.60
1900,14.06
1901,13.97
1902,13.26
1903,13.45
1904,13.17
1905,13.30
1906,13.41
1907,12.65
1908,12.73
1909,13.72
1910,13.66
1911,12.86
1912,13.18
1913,12.94
1914,13.03
1915,14.00
1916,14.53
1917,13.81
1918,13.82
1919,13.86
1920,12.74
1921,12.95
1922,13.76
1923,14.46
1924,13.42
1925,13.91
1926,14.03
1927,14.29
1928,13.37
1929,13.29
1930,14.36
1931,13.66
1932,13.84
1933,12.68
1934,14.20
1935,13.94
1936,14.22
1937,14.79
1938,13.79
1939,14.23
1940,13.40
1941,13.32
1942,12.97
1943,13.16
1944,13.80
1945,13.32
1946,14.21
1947,14.31
1948,13.09
1949,12.78
1950,13.83
1951,14.23
1952,14.64
1953,13.03
1954,13.63
1955,14.57
1956,12.95
1957,14.09
1958,14.24
1959,13.03
1960,14.30
1961,14.04
1962,14.65
1963,14.07
1964,13.12
1965,13.48
1966,15.22
1967,13.47
1968,13.71
1969,13.79
1970,14.27
1971,13.77
1972,13.48
1973,13.31
1974,13.37
1975,13.95
1976,12.85
1977,13.94
1978,13.71
1979,14.37
1980,13.51
1981,13.99
1982,13.46
1983,13.61
1984,13.70
1985,13.47
1986,13.79
1987,13.19
1988,13.66
1989,13.90
1990,14.01
1991,13.21
1992,13.01
1993,13.32
1994,14.88
1995,14.14
1996,13.77
1997,13.16
1998,14.48
1999,15.00
2000,14.29
2001,15.11
2002,14.51
2003,13.91
2004,14.23
2005,14.23
2006,14.11
2007,14.98
2008,14.91
2009,14.95
2010,15.60
2011,13.65
2012,14.97
2013,16.02
