year,avg_temp
1832,23.05
1833,24.11
1834,23.27
1835,22.73
1836,22.91
1837,22.29
1838,22.81
1839,22.54
1840,23.32
1841,22.97
1842,23.41
1843,23.55
1844,
1845,
1846,
1847,
1848,
1849,
1850,
1851,23.53
1852,23.74
1853,23.76
1854,23.83
1855,23.89
1856,22.83
1857,23.46
1858,22.37
1859,23.04
1860,23.91
1861,23.04
1862,23.04
1863,22.95
1864,23.02
1865,22.89
1866,23.10
1867,23.26
1868,24.32
1869,24.20
1870,24.22
1871,23.84
1872,23.75
1873,23.94
1874,23.23
1875,22.85
1876,23.05
1877,23.80
1878,24.30
1879,22.84
1880,24.01
1881,23.29
1882,22.65
1883,22.98
1884,22.85
1885,23.75
1886,22.94
1887,23.49
1888,23.82
1889,24.17
1890,23.38
1891,23.55
1892,23.40
1893,22.68
1894,23.62
1895,23.36
1896,23.35
1897,23.31
1898,23.54
1899,23.95
1900,23.48
1901,23.07
1902,23.99
1903,23.73
1904,23.17
1905,23.84
1906,23.74
1907,23.36
1908,23.57
1909,23.33
1910,23.31
1911,23.36
1912,23.48
1913,23.72
1914,24.28
1915,24.06
1916,23.52
1917,22.62
1918,23.26
1919,23.73
1920,23.64
1921,23.41
1922,23.91
1923,23.85
1924,23.25
1925,23.49
1926,23.83
1927,23.67
1928,24.09
1929,23.80
1930,24.04
1931,23.54
1932,24.23
1933,23.01
1934,23.79
1935,23.89
1936,24.02
1937,23.61
1938,23.92
1939,23.95
1940,24.17
1941,24.22
1942,23.86
1943,23.54
1944,23.85
1945,23.61
1946,24.34
1947,23.63
1948,24.02
1949,23.56
1950,24.03
1951,23.25
1952,23.97
1953,24.01
1954,24.22
1955,23.62
1956,23.47
1957,23.97
1958,24.62
1959,24.61
1960,23.80
1961,24.64
1962,23.44
1963,24.29
1964,23.47
1965,24.30
1966,24.36
1967,24.20
1968,23.30
1969,24.15
1970,24.06
1971,24.00
1972,24.41
1973,24.38
1974,23.92
1975,23.57
1976,23.77
1977,24.64
1978,24.01
1979,23.61
1980,24.35
1981,24.02
1982,24.02
1983,24.14
1984,24.62
1985,24.10
1986,24.75
1987,24.55
1988,24.00
1989,24.07
1990,24.64
1991,24.25
1992,24.24
1993,24.65
1994,24.71
1995,24.77
1996,24.28
1997,24.71
1998,24.78
1999,24.01
2000,24.36
2001,24.99
2002,25.18
2003,24.90
2004,24.24
2005,24.79
2006,24.57
2007,24.78
2008,24.26
2009,24.98
2010,24.95
2011,24.32
2012,24.84
2013,25.19
