year,avg_temp
1841,16.56
1842,16.57
1843,16.88
1844,16.22
1845,16.64
1846,17.07
1847,16.60
1848,16.25
1849,16.08
1850,16.51
1851,16.60
1852,16.39
1853,16.10
1854,16.48
1855,16.90
1856,16.76
1857,16.69
1858,17.04
1859,16.26
1860,16.33
1861,16.72
1862,16.90
1863,16.53
1864,16.37
1865,16.75
1866,16.96
1867,17.38
1868,16.96
1869,16.91
1870,16.84
1871,16.75
1872,16.71
1873,16.78
1874,16.75
1875,16.95
1876,17.30
1877,17.04
1878,17.24
1879,16.31
1880,16.65
1881,16.63
1882,17.03
1883,16.46
1884,16.86
1885,16.95
1886,16.88
1887,16.66
1888,16.72
1889,17.17
1890,16.77
1891,16.74
1892,16.60
1893,16.67
1894,16.83
1895,16.85
1896,16.85
1897,17.08
1898,17.04
1899,17.06
1900,16.98
1901,16.86
1902,16.98
1903,16.87
1904,16.58
1905,16.57
1906,16.92
1907,16.87
1908,16.67
1909,16.47
1910,16.93
1911,16.85
1912,17.10
1913,17.23
1914,17.87
1915,17.31
1916,16.97
1917,16.55
1918,16.56
1919,17.51
1920,16.65
1921,17.15
1922,17.22
1923,17.20
1924,16.65
1925,16.55
1926,17.25
1927,16.42
1928,17.40
1929,16.69
1930,17.10
1931,16.86
1932,16.97
1933,16.76
1934,16.89
1935,16.55
1936,16.79
1937,16.97
1938,17.39
1939,17.33
1940,17.64
1941,16.86
1942,17.30
1943,16.31
1944,16.99
1945,16.89
1946,17.04
1947,16.94
1948,16.42
1949,16.55
1950,17.14
1951,16.73
1952,16.83
1953,16.73
1954,16.93
1955,16.99
1956,16.64
1957,17.06
1958,17.41
1959,17.23
1960,16.68
1961,16.86
1962,16.74
1963,16.93
1964,16.96
1965,17.00
1966,16.64
1967,16.85
1968,17.27
1969,17.18
1970,16.78
1971,16.84
1972,17.03
1973,17.81
1974,16.98
1975,17.34
1976,17.01
1977,17.34
1978,17.16
1979,17.56
1980,18.00
1981,17.49
1982,17.30
1983,17.47
1984,16.91
1985,17.09
1986,17.06
1987,17.37
1988,17.89
1989,17.26
1990,17.47
1991,17.85
1992,16.89
1993,17.42
1994,17.36
1995,16.95
1996,17.05
1997,17.51
1998,18.05
1999,17.55
2000,17.57
2001,17.85
2002,17.73
2003,17.59
2004,17.87
2005,18.03
2006,17.75
2007,18.02
2008,17.32
2009,18.18
2010,18.00
2011,17.71
2012,17.47
2013,18.09
