year,avg_temp
1743,-0.11
1744,8.38
1745,-3.96
1746,
1747,
1748,
1749,
1750,6.29
1751,6.84
1752,-1.10
1753,5.76
1754,5.94
1755,2.81
1756,6.37
1757,5.13
1758,4.37
1759,5.27
1760,3.74
1761,6.25
1762,5.79
1763,3.32
1764,5.76
1765,5.14
1766,6.27
1767,4.74
1768,4.81
1769,5.44
1770,5.35
1771,6.23
1772,5.93
1773,6.22
1774,5.64
1775,6.64
1776,5.69
1777,5.23
1778,3.18
1779,6.10
1780,8.70
1781,5.96
1782,5.39
1783,5.11
1784,4.90
1785,4.83
1786,5.35
1787,5.37
1788,6.00
1789,5.70
1790,5.64
1791,5.72
1792,5.15
1793,6.02
1794,6.05
1795,5.60
1796,5.48
1797,5.21
1798,6.03
1799,5.62
1800,5.85
1801,6.23
1802,6.46
1803,6.23
1804,6.02
1805,6.49
1806,5.70
1807,5.49
1808,5.66
1809,4.90
1810,5.24
1811,5.38
1812,3.97
1813,5.31
1814,5.16
1815,4.52
1816,4.00
1817,4.12
1818,4.84
1819,5.07
1820,5.08
1821,4.88
1822,5.64
1823,4.86
1824,5.38
1825,6.46
1826,6.23
1827,6.03
1828,6.82
1829,5.46
1830,6.23
1831,4.96
1832,5.90
1833,5.88
1834,6.16
1835,5.11
1836,4.27
1837,4.89
1838,4.48
1839,5.62
1840,5.88
1841,5.33
1842,5.75
1843,4.81
1844,5.80
1845,5.81
1846,6.47
1847,5.11
1848,5.68
1849,5.18
1850,5.45
1851,5.45
1852,5.27
1853,5.70
1854,5.90
1855,5.16
1856,4.26
1857,4.64
1858,5.93
1859,5.54
1860,5.58
1861,5.45
1862,5.21
1863,5.36
1864,5.47
1865,5.70
1866,4.88
1867,5.11
1868,4.59
1869,4.74
1870,6.22
1871,5.26
1872,4.83
1873,4.64
1874,5.47
1875,3.47
1876,5.41
1877,6.48
1878,7.15
1879,5.36
1880,6.19
1881,6.31
1882,5.97
1883,4.06
1884,5.29
1885,3.83
1886,5.17
1887,5.30
1888,4.39
1889,5.96
1890,5.71
1891,6.28
1892,5.40
1893,4.83
1894,6.64
1895,5.12
1896,5.75
1897,5.89
1898,6.59
1899,5.70
1900,6.47
1901,5.70
1902,5.80
1903,5.79
1904,3.85
1905,5.21
1906,6.19
1907,4.83
1908,6.22
1909,5.83
1910,5.77
1911,6.43
1912,4.82
1913,6.68
1914,5.59
1915,6.00
1916,5.89
1917,3.91
1918,5.57
1919,6.54
1920,5.24
1921,7.75
1922,6.50
1923,5.49
1924,4.86
1925,5.63
1926,4.34
1927,6.10
1928,5.86
1929,5.47
1930,6.44
1931,7.56
1932,6.62
1933,6.66
1934,5.44
1935,5.60
1936,5.55
1937,6.32
1938,6.91
1939,6.14
1940,5.06
1941,6.68
1942,6.26
1943,5.19
1944,6.49
1945,5.90
1946,6.90
1947,6.18
1948,6.38
1949,7.31
1950,5.64
1951,6.26
1952,7.01
1953,7.51
1954,6.24
1955,6.97
1956,5.75
1957,6.42
1958,5.62
1959,6.40
1960,5.90
1961,6.46
1962,5.89
1963,5.49
1964,6.50
1965,5.59
1966,6.03
1967,5.66
1968,6.11
1969,6.03
1970,5.98
1971,6.37
1972,5.22
1973,7.23
1974,6.01
1975,6.75
1976,5.47
1977,6.19
1978,5.24
1979,5.90
1980,5.48
1981,6.16
1982,6.04
1983,6.78
1984,6.42
1985,6.13
1986,6.56
1987,7.46
1988,6.56
1989,5.70
1990,7.41
1991,7.55
1992,5.79
1993,5.87
1994,5.95
1995,6.38
1996,5.81
1997,6.00
1998,8.54
1999,7.75
2000,6.67
2001,7.76
2002,7.48
2003,6.02
2004,6.40
2005,7.22
2006,7.85
2007,7.07
2008,6.58
2009,6.28
2010,7.77
2011,7.30
2012,8.66
2013,8.46
